case_id,confirmed,rejected,strict,review_union,strict_exact_labels,review_union_exact_labels
subject001,6,9,8,18,1,9
subject002,4,0,4,6,1,4
subject003,4,3,4,11,0,5
subject004,4,1,4,6,1,4
subject005,4,18,13,29,1,13
subject006,5,7,4,17,0,10
subject007,3,6,8,13,0,6
subject008,5,4,7,10,1,8
subject009,3,0,4,5,0,3
subject010,5,6,9,15,1,7
subject011,4,3,5,8,0,5
subject012,4,1,5,5,0,4
subject013,4,3,8,9,0,5
subject014,4,1,4,5,0,4
subject015,4,2,3,8,0,4
subject016,7,12,6,20,1,17
subject017,0,0,0,0,0,0
subject018,4,19,16,42,1,19
subject019,0,0,0,0,0,0
subject020,2,1,1,2,0,0
subject021,3,2,3,5,1,4
subject022,7,13,7,16,0,11
subject023,0,1,0,1,0,1
subject024,0,28,11,25,0,1
subject025,6,5,16,28,0,10
