feature,label,n,mean,q1,median,q3,min,max
radius_mm,confirmed,92,2.921434782608696,2.375,2.878,3.584,0.746,4.551
radius_mm,rejected,145,1.6534827586206897,1.0,1.279,2.0,0.703,6.011
mean_vesselness,confirmed,92,0.7868152173913043,0.6747500000000001,0.7985,0.96,0.251,1.0
mean_vesselness,rejected,145,0.3406137931034483,0.149,0.307,0.476,0.031,0.956
evidence_score,confirmed,92,0.9521956521739131,0.918,0.975,0.98525,0.726,1.0
evidence_score,rejected,145,0.7428965517241379,0.63,0.734,0.866,0.433,1.0
path_length_mm,confirmed,92,9.098124926576666,8.335946079351208,9.999999999999991,10.0,5.546612195287208,10.000000000000068
path_length_mm,rejected,145,8.939291065947515,7.572188769203322,9.999999999999977,10.000000000000002,5.207022025131156,10.000000000000078
seed_distance_mm,confirmed,92,4.7573235455458756,4.692151350239628,4.783816590866602,4.909882212033507,3.528294788655828,5.000000000000044
seed_distance_mm,rejected,145,4.559865685011197,4.2661536503251565,4.777434269093773,4.944294019654318,3.516535994950734,5.000000000000066
tortuosity,confirmed,92,1.0734354764939078,1.0433398215438345,1.0682425408011298,1.0909504828706507,0.9999999999999998,1.274621257173529
tortuosity,rejected,145,1.1234247946121,1.03808185097396,1.0797677220836273,1.1798846362039026,0.9999999999999999,1.5654162527229982
path_hu_relative,confirmed,92,0.9634717391304349,0.9299,0.9567000000000001,1.001075,0.7527,1.4519
path_hu_relative,rejected,145,0.8941668965517242,0.644,0.8395,1.0605,0.4893,1.8647
bone_distance_mm,confirmed,92,31.003858695652173,22.1415,32.361000000000004,42.9505,0.0,50.0
bone_distance_mm,rejected,145,23.09251724137931,8.307,23.854,30.083,0.873,50.0
parent_angle_degrees,confirmed,92,63.294347826086955,52.1725,64.97,74.7675,22.71,89.28
parent_angle_degrees,rejected,145,62.27986206896553,47.74,66.53,80.21,12.97,90.0
arc_position,confirmed,92,0.6322315217391304,0.555825,0.6777,0.7724500000000001,0.0502,0.9643
arc_position,rejected,145,0.47491724137931035,0.1846,0.5033,0.7223,0.0012,0.9677
native_spacing_mm,confirmed,92,1.0416195652173912,0.8,0.85,1.5,0.8,1.5
native_spacing_mm,rejected,145,1.2146827586206899,0.862,1.5,1.5,0.8,1.5
connector_gap,confirmed,92,0.0009880434782608696,0.0,0.0,0.0,0.0,0.0909
connector_gap,rejected,145,0.04972689655172414,0.0,0.0,0.0,0.0,0.3333
candidate_volume_mm3,confirmed,92,298.8695652173913,125.5,203.5,288.0,7.0,6004.0
candidate_volume_mm3,rejected,145,1231.5931034482758,22.0,241.0,732.0,2.0,14431.0
